Game_Id,Round,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Hsh,Ash,HT,AT,HF,AF,HC,AC,HY,AY,HR,AR,GameDate,Attendance,Referee_Id,HomeTeam,AwayTeam
,24,1,1,D,1,1,D,10,17,4,2,8,15,2,9,2,3,0,0,21/01/18,,9,17,6
,24,1,0,H,1,0,H,3,21,2,4,5,9,3,9,0,2,0,0,22/01/18,,16,19,5
,25,0,3,A,0,2,A,5,14,1,7,8,8,1,4,0,0,0,0,30/01/18,,9,18,5
,25,3,1,H,1,1,D,12,9,4,4,4,8,4,3,0,3,0,0,30/01/18,,10,19,2
,25,1,1,D,1,1,D,8,9,3,3,11,15,5,3,1,3,0,0,30/01/18,,16,14,12
,25,0,3,A,0,0,D,21,11,5,5,5,12,8,5,1,0,0,0,31/01/18,,11,7,13
,25,2,1,H,2,0,H,9,8,4,1,9,10,5,5,0,2,0,0,31/01/18,,4,9,10
,25,3,0,H,1,0,H,19,3,10,1,10,10,9,1,1,3,0,0,31/01/18,,19,3,21
,25,1,1,D,0,0,D,14,11,4,2,15,15,7,4,1,2,0,0,31/01/18,,21,11,8
,25,1,1,D,0,1,A,18,9,3,2,8,10,7,2,3,1,0,0,31/01/18,,13,17,16
,25,0,0,D,0,0,D,11,12,4,2,12,12,2,6,4,3,0,0,31/01/18,,8,20,15
,25,2,0,H,2,0,H,22,6,6,3,10,13,6,3,2,2,0,0,31/01/18,,2,6,4
,26,5,1,H,4,0,H,15,11,7,2,8,8,4,6,2,0,0,0,3/2/2018,,16,2,9
,26,2,1,H,0,1,A,15,13,8,4,14,19,8,1,2,3,0,0,3/2/2018,,17,13,20
,26,3,1,H,1,1,D,21,4,5,1,11,7,4,1,3,1,0,0,3/2/2018,,18,16,14
,26,1,1,D,0,1,A,8,20,3,7,9,6,3,13,4,1,0,0,3/2/2018,,12,8,3
,26,1,1,D,1,0,H,13,3,5,1,9,8,3,3,1,0,0,0,3/2/2018,,3,10,19
,26,2,0,H,0,0,D,16,4,7,0,5,19,5,2,2,4,0,0,3/2/2018,,20,4,18
,26,2,3,A,1,2,A,9,13,3,5,12,10,5,7,2,1,0,0,3/2/2018,,15,21,17
,26,1,1,D,0,1,A,21,11,6,8,11,8,5,6,1,1,0,0,4/2/2018,,2,12,11
,26,2,2,D,1,0,H,9,13,3,6,15,9,3,7,3,1,0,0,4/2/2018,,8,5,6
,26,4,1,H,1,0,H,21,7,8,3,11,8,6,2,2,2,0,1,5/2/2018,,13,15,7
